Dataset,Clustering,ARI,AMI,Time
Aggregation,k-means++,0.7173820623237965,0.8304169330793516,0.04043242931365967
Compound,k-means++,0.5749844677009646,0.7185351251054185,0.037192463874816895
D31,k-means++,0.9554352639843171,0.9673001201832426,0.18856675624847413
Flame,k-means++,0.42025484355915355,0.3849341222421571,0.02160158157348633
Jain,k-means++,0.552751161834573,0.5097629848341791,0.018958091735839844
Pathbased,k-means++,0.4797415258613849,0.5577829862532563,0.022828030586242675
R15,k-means++,0.9927781994136302,0.9938103763245357,0.05328667163848877
Spiral,k-means++,-0.005680709924327783,-0.00526621892756218,0.032788658142089845
Aggregation,Mean shift,0.8599616081566118,0.886141741613427,2.6578845024108886
Compound,Mean shift,0.7698397871095064,0.7887879720459069,1.133918857574463
D31,Mean shift,0.9351165656423271,0.9546564953230219,7.67205970287323
Flame,Mean shift,0.36124223909404635,0.5034451005109545,0.8616864204406738
Jain,Mean shift,0.26675015141822284,0.4542912208881759,1.7642460107803344
Pathbased,Mean shift,0.5231277349727285,0.5213816287152866,0.8357292890548706
R15,Mean shift,0.9927781994136302,0.9938103763245357,0.8368617534637451
Spiral,Mean shift,0.11528855631951264,0.4264583259090098,0.4371005058288574
Aggregation,DBSCAN,0.901835337112778,0.938303567498237,0.006444263458251953
Compound,DBSCAN,0.9164033992471398,0.8939580101411713,0.005173206329345703
D31,DBSCAN,0.31482079028814836,0.737946664694138,0.016459560394287108
Flame,DBSCAN,0.8362358447142196,0.7504008731586396,0.004353570938110352
Jain,DBSCAN,0.9380577318034881,0.8421252819620152,0.005016875267028808
Pathbased,DBSCAN,0.7455786238379941,0.7417171642674433,0.0046299219131469725
R15,DBSCAN,0.9001872883495454,0.9220368156197012,0.005732131004333496
Spiral,DBSCAN,1.0,0.9999999999999996,0.004696178436279297
Aggregation,HDBSCAN,0.8353489513486005,0.8997614826847444,0.014853453636169434
Compound,HDBSCAN,0.8112884900308447,0.8549521877039471,0.009643650054931641
D31,HDBSCAN,0.5952004645783535,0.8416980413281305,0.045208096504211426
Flame,HDBSCAN,0.7317747509961655,0.6592660102117058,0.007654595375061035
Jain,HDBSCAN,0.9185955596512574,0.8198938567165153,0.009508013725280762
Pathbased,HDBSCAN,0.6667651685110364,0.6636207115138001,0.00813310146331787
R15,HDBSCAN,0.951025730432601,0.956049989415085,0.011635994911193848
Spiral,HDBSCAN,1.0,0.9999999999999996,0.012835550308227538
Aggregation,Quickshift++,0.9722295345030965,0.9722295345030965,0.9722295345030965
Compound,Quickshift++,0.7938490437406275,0.7938490437406275,0.7938490437406275
D31,Quickshift++,0.9269441176723661,0.9269441176723661,0.9269441176723661
Flame,Quickshift++,1.0,1.0,1.0
Jain,Quickshift++,1.0,1.0,1.0
Pathbased,Quickshift++,0.47174404610076115,0.47174404610076115,0.47174404610076115
R15,Quickshift++,0.9790487429608673,0.9790487429608673,0.9790487429608673
Spiral,Quickshift++,0.8806067434745453,0.8806067434745453,0.8806067434745453
Aggregation,CLASSIX - distance,0.9159759325802469,0.9578057826993306,0.0058907270431518555
Compound,CLASSIX - distance,0.8208854167070264,0.8313770037706772,0.006964969635009766
D31,CLASSIX - distance,0.8963271051765958,0.9373661000138493,0.108672833442688
Flame,CLASSIX - distance,0.8695133875459655,0.8101141172291586,0.0034630298614501953
Jain,CLASSIX - distance,1.0,0.9999999999999977,0.0024436235427856444
Pathbased,CLASSIX - distance,0.6118139804466249,0.6950244895066795,0.00457770824432373
R15,CLASSIX - distance,0.9820854701480706,0.9854491168409636,0.004691195487976074
Spiral,CLASSIX - distance,0.9709789850297171,0.9598395602889038,0.0030425310134887694
Aggregation,CLASSIX - density,0.9641847311887344,0.9655879738354647,0.015624594688415528
Compound,CLASSIX - density,0.8458416088023509,0.888036624135647,0.03519341945648193
D31,CLASSIX - density,0.8262695081061465,0.9252557345716457,0.2659351110458374
Flame,CLASSIX - density,0.9666558009707376,0.9356579552065291,0.022388100624084473
Jain,CLASSIX - density,1.0,0.9999999999999977,0.006165051460266113
Pathbased,CLASSIX - density,0.6803351554545519,0.7311788622851216,0.014674711227416991
R15,CLASSIX - density,0.9095021640376705,0.9652747841605347,0.032262659072875975
Spiral,CLASSIX - density,1.0,0.9999999999999996,0.015483260154724121
