Range,ARI,AMI
0.27,7.535570906167808e-07,7.14655226171272e-05
0.29500000000000004,7.535570906167808e-07,7.14655226171272e-05
0.32000000000000006,2.063882855061436e-06,0.00014210314873806988
0.3450000000000001,0.0,1.4307720329022989e-16
0.3700000000000001,0.2010206634204382,0.4077988739281389
0.39500000000000013,0.3546512432149608,0.5896730929369064
0.42000000000000015,0.6012575247783339,0.7369750504183656
0.4450000000000002,0.7611924835559603,0.8472495753215288
0.4700000000000002,0.21060132771473697,0.4587888564734466
0.4950000000000002,0.0,1.4307720329022989e-16
0.5200000000000002,0.0,1.4307720329022989e-16
0.5450000000000003,0.0,1.4307720329022989e-16
0.5700000000000003,0.0,1.4307720329022989e-16
0.5950000000000003,0.0,1.4307720329022989e-16
0.6200000000000003,0.0,1.4307720329022989e-16
