x,y
10.0,0.7366674567433041
10.0,0.5203231974341578
10.0,0.897876643073812
10.0,0.897876643073812
10.0,0.897876643073812
10.0,0.7366674567433041
10.0,1.0
10.0,0.897876643073812
10.0,1.0
10.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
60.0,0.9996667223557215
60.0,0.999555441915145
60.0,0.9993331555757371
60.0,0.9993331555757371
60.0,0.9991110129136693
60.0,0.9991105674355601
60.0,0.999555553205482
60.0,0.9989996335074678
60.0,0.999555441915145
60.0,0.999555441915145
70.0,0.9573962994282598
70.0,0.9545477753719198
70.0,0.9608276063054465
70.0,0.957291162962935
70.0,0.9543123009276784
70.0,0.9532696181215629
70.0,0.9514293863906418
70.0,0.9526902099256225
70.0,0.9557759664884746
70.0,0.956602119719228
80.0,0.4887580517419826
80.0,0.4837119829001063
80.0,0.4962285444789808
80.0,0.4872492743687358
80.0,0.5078245037298399
80.0,0.4893427893718003
80.0,0.4955727845704819
80.0,0.49535540389281746
80.0,0.4921394697767381
80.0,0.49153831949761895
90.0,0.007623850420755854
90.0,0.004806048403140466
90.0,0.008223269632191001
90.0,0.009261742328675458
90.0,0.005091663206241465
90.0,0.009691654263743894
90.0,0.008103053626961412
90.0,0.0071598409543179205
90.0,0.006519722704611459
90.0,0.0066562307193126875
100.0,1.7298894181596083e-05
100.0,1.0451447045829576e-05
100.0,1.621772108923826e-05
100.0,1.982162735580413e-05
100.0,1.0091053936652298e-05
100.0,1.1172232917784214e-05
100.0,1.2974195577007205e-05
100.0,1.4415763625992412e-05
100.0,1.9461237248741925e-05
100.0,1.8380066234763473e-05
